line_number,msg,﻿B,P-010938,1,0000 ,   ,Building Line,BL        
9862,"Expected 7 columns, found 9 columns",B,P-336732,11,0422 ,   ,NO STANDING ANYTIME <-> (SUPERSEDES SP-1044B, SP-10B, SP-216B & SP-270B)                                                                                                ,PS-1G     
10148,"Expected 7 columns, found 9 columns",B,P-337479,13,0448 ,S  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
10153,"Expected 7 columns, found 9 columns",B,P-337480,3,0046 ,S  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
10162,"Expected 7 columns, found 9 columns",B,P-337481,3,0029 ,S  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
10165,"Expected 7 columns, found 9 columns",B,P-337481,6,0131 ,N  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
10169,"Expected 7 columns, found 9 columns",B,P-337481,10,0206 ,S  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
10181,"Expected 7 columns, found 9 columns",B,P-337482,9,0369 ,N  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
10188,"Expected 7 columns, found 9 columns",B,P-337483,5,0198 ,W  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
10357,"Expected 7 columns, found 9 columns",B,P-340206,2,0084 ,W  ,NO STANDING ANYTIME <-> (SUPERSEDES SP-1044B, SP-10B, SP-216B & SP-270B)                                                                                                ,PS-1G     
10358,"Expected 7 columns, found 9 columns",B,P-340206,3,0138 ,E  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
10361,"Expected 7 columns, found 9 columns",B,P-340206,6,0200 ,W  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
10365,"Expected 7 columns, found 9 columns",B,P-340206,10,0289 ,E  ,NO STANDING ANYTIME <-> (SUPERSEDES SP-1044B, SP-10B, SP-216B & SP-270B)                                                                                                ,PS-1G     
10373,"Expected 7 columns, found 9 columns",B,P-340282,7,0264 ,S  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
10376,"Expected 7 columns, found 9 columns",B,P-340282,10,0319 ,N  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
10397,"Expected 7 columns, found 9 columns",B,P-341127,5,0169 ,W  ,TAXI HAILING (SYMBOL) TAXI STAND --> (SUPERSEDES SP-327BA, SP-433BA, SP555BA & SP-557BA)                                                                                ,PS-10EA   
10455,"Expected 7 columns, found 9 columns",B,P-341538,27,1684 ,S  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
10552,"Expected 7 columns, found 9 columns",B,P-342507,7,0290 ,W  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
10571,"Expected 7 columns, found 9 columns",B,P-342649,3,0077 ,E  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
10696,"Expected 7 columns, found 9 columns",B,P-343084,3,0037 ,S  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
10734,"Expected 7 columns, found 8 columns",B,P-343292,17,0618 ,   ,NO STANDING<---->HANDICAP BUS STOP(SYMBOL) W/4 ROUTES +(15X12,4 ROUTE RIDER-IF NECESSARY);REVISED 2/14/94 & SUPERSEDES SP-298B.                                         ,R7-61     
11086,"Expected 7 columns, found 9 columns",B,P-345641,3,0092 ,   ,NO STANDING ANYTIME <-> (SUPERSEDES SP-1044B, SP-10B, SP-216B & SP-270B)                                                                                                ,PS-1G     
11087,"Expected 7 columns, found 9 columns",B,P-345641,4,0165 ,S  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
11190,"Expected 7 columns, found 9 columns",B,P-345702,3,0040 ,N  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
11328,"Expected 7 columns, found 9 columns",B,P-345732,12,0495 ,E  ,TAXI HAILING (SYMBOL) TAXI STAND --> (SUPERSEDES SP-327BA, SP-433BA, SP555BA & SP-557BA)                                                                                ,PS-10EA   
11402,"Expected 7 columns, found 9 columns",B,P-345742,3,0062 ,S  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
11423,"Expected 7 columns, found 9 columns",B,P-345744,3,0099 ,S  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
11542,"Expected 7 columns, found 9 columns",B,P-345791,3,0055 ,W  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
11551,"Expected 7 columns, found 9 columns",B,P-345792,3,0037 ,N  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
11578,"Expected 7 columns, found 9 columns",B,P-345798,8,0483 ,N  ,NO STANDING ANYTIME <-> (SUPERSEDES SP-1044B, SP-10B, SP-216B & SP-270B)                                                                                                ,PS-1G     
11579,"Expected 7 columns, found 9 columns",B,P-345798,9,0539 ,S  ,NO STANDING ANYTIME <-> (SUPERSEDES SP-1044B, SP-10B, SP-216B & SP-270B)                                                                                                ,PS-1G     
11586,"Expected 7 columns, found 9 columns",B,P-345798,16,0905 ,N  ,NO STANDING ANYTIME <-> (SUPERSEDES SP-1044B, SP-10B, SP-216B & SP-270B)                                                                                                ,PS-1G     
11589,"Expected 7 columns, found 9 columns",B,P-345798,19,0959 ,S  ,NO STANDING ANYTIME <-> (SUPERSEDES SP-1044B, SP-10B, SP-216B & SP-270B)                                                                                                ,PS-1G     
11590,"Expected 7 columns, found 9 columns",B,P-345798,20,0987 ,N  ,NO STANDING ANYTIME <-> (SUPERSEDES SP-1044B, SP-10B, SP-216B & SP-270B)                                                                                                ,PS-1G     
11593,"Expected 7 columns, found 9 columns",B,P-345798,23,1026 ,S  ,NO STANDING ANYTIME <-> (SUPERSEDES SP-1044B, SP-10B, SP-216B & SP-270B)                                                                                                ,PS-1G     
11594,"Expected 7 columns, found 9 columns",B,P-345798,24,1146 ,N  ,NO STANDING ANYTIME <-> (SUPERSEDES SP-1044B, SP-10B, SP-216B & SP-270B)                                                                                                ,PS-1G     
11597,"Expected 7 columns, found 9 columns",B,P-345798,27,1168 ,S  ,NO STANDING ANYTIME <-> (SUPERSEDES SP-1044B, SP-10B, SP-216B & SP-270B)                                                                                                ,PS-1G     
11602,"Expected 7 columns, found 9 columns",B,P-345798,32,1453 ,   ,NO STANDING ANYTIME <-> (SUPERSEDES SP-1044B, SP-10B, SP-216B & SP-270B)                                                                                                ,PS-1G     
11603,"Expected 7 columns, found 9 columns",B,P-345798,33,1505 ,S  ,NO STANDING ANYTIME <-> (SUPERSEDES SP-1044B, SP-10B, SP-216B & SP-270B)                                                                                                ,PS-1G     
11843,"Expected 7 columns, found 9 columns",B,P-345997,7,0285 ,N  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
